,0,1,grupo_cluster,artistas,musica,id
0,0.3780406378842691,-1.1056700429205875,41,Coldplay,Yellow,3AJwUDP919kvQ9QcozQPxg
1,-1.8357844299368185,0.9682679962682051,1,OutKast,Ms. Jackson,0I3q5fE6wg7LIfHGngUTnV
2,-0.8120902135428373,-0.9238252355430969,42,Linkin Park,In the End,60a0Rd6pjrkxjPbaKzXjfq
3,-0.7849275645678444,-1.590062002788356,41,3 Doors Down,Kryptonite,6ZOBP3NvffbU4SZcrnt1k6
4,-2.1682979814966368,1.0794477352175187,7,Eminem,The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR
5,-2.0450604552322322,-0.7300979448775442,41,Disturbed,Down with the Sickness,40rvBMQizxkIqnjPdEWY1v
6,-1.514005370669715,0.08984401169670671,2,Nelly,Ride Wit Me,3Gf5nttwcX9aaSQXRWidEZ
7,-2.1709521510291516,0.9316171158767231,7,Eminem,Stan,3UmaczJpikHgJFyBTAJVoz
8,-1.5495038178201406,-2.001832870747023,41,*NSYNC,Bye Bye Bye,62bOmKYxYg7dhrC6gH9vFn
9,-1.3052912032429815,-0.8960723935935071,17,Britney Spears,Oops!...I Did It Again,6naxalmIoLFWR0siv8dnQQ
10,3.0433790531584672,-0.09861801110407926,41,Coldplay,Sparks,7D0RhFcb3CrfPuTJ0obrod
11,-0.9755202855952392,-1.537950789417585,42,Linkin Park,One Step Closer,3K4HG9evC7dg3N0R9cYqk4
12,-1.004208548206348,-0.7680971817783735,2,Shaggy,It Wasn't Me,3WkibOpDF7cQ5xntM1epyf
13,-1.53126589998474,0.10435274926361338,2,Nelly,Country Grammar (Hot Shit),3wMUvT6eIw2L5cZFG1yH9j
14,0.47832004669913036,-1.8231015832208586,2,The Beatles,Hey Jude - Remastered 2015,0aym2LBJBk9DAYuHHutrIl
15,-0.17944035592741056,-1.4136664089853141,2,The Beatles,I Want To Hold Your Hand - Remastered 2015,4pbG9SUmWIvsROVLF0zF9s
16,-0.39661951912166554,-1.9676525730755472,41,Lifehouse,Hanging By A Moment,0wqOReZDnrefefEsrIGeR4
17,-0.356807099054627,-1.3656786525786673,42,Linkin Park,Crawling,57BrRMwf9LrcmuOsyGilwr
18,-1.9030317692234646,0.5249705514124577,1,OutKast,"So Fresh, So Clean",6glsMWIMIxQ4BedzLqGVi4
19,0.7972882632868217,-0.5094825350558995,2,Sam Cooke,(What A) Wonderful World,2g2GkH3vZHk4lWzBjgQ6nY
20,-1.8143225227535784,-0.49064298320883604,2,Limp Bizkit,Rollin' (Air Raid Vehicle),3IV4swNduIRunHREK80owz
21,-1.6670576477235988,-1.1923116748610465,2,Shaggy,Angel,7FDV5ELOJHCGLe52AnttEd
22,-2.1734512245848996,1.0235120151119634,7,Eminem,The Way I Am,23wfXwnsPZYe5A1xXRHb3J
23,0.02978736985033649,-2.1505451550761028,35,Deftones,Change (In the House of Flies),51c94ac31swyDQj9B3Lzs3
24,-1.6213501644082515,-1.9215471777300974,42,Linkin Park,Papercut,1Vej0qeQ3ioKwpI6FUbRv1
25,-1.4237785288041103,-1.9489746646686739,41,*NSYNC,It's Gonna Be Me,2AW37v0bDyuOzGP3XnmFuA
26,-1.1759619592194308,-1.6523817618925876,17,Britney Spears,My Only Wish (This Year),0YWUHZPJVg4iujddsJDwhM
27,-0.44047129762124304,-2.3380532877354505,41,U2,Beautiful Day,1VuBmEauSZywQVtqbxNqka
28,1.8105265876966765,-0.4679767000569154,2,Sam Cooke,Bring It On Home to Me,0WVTQp3SOCuMr08jh1jweV
29,-2.669317375855981,0.19912034909564313,2,Ludacris,What's Your Fantasy (Featuring Shawna),4LwOrnuxJwR7C5Sw4liY4Z
30,-0.71009140403597,-1.4233211208758245,41,Godsmack,Awake,6xXlurslWqFuyqTCBlErzX
31,-0.5721861050105752,-1.6743363186742555,41,Christina Aguilera,This Christmas,32h59T8q2SonUPJ006lyXt
32,-0.031190616190550524,-0.9845085503495233,37,A Perfect Circle,Judith,5KDNFlHAdDJ84fhK27c35X
33,2.442742762186521,0.11509465439542874,2,Sam Cooke,You Send Me,5aivQ5CkXXHJoMLy0o92HL
34,-1.7972794588096845,1.5475340817928096,7,Eminem,Kill You,5eGEc27nnhtmcOh6RC890a
35,-0.07941260893985967,-1.2749599266574616,2,Joe,I Wanna Know,1m2xMsxbtxv21Brome189p
36,-1.4757953215146482,-1.059445234777594,2,Limp Bizkit,My Way,2gSVKxPDww9Eep5rdvtdem
37,0.33460199711091587,-1.6848653743770847,41,*NSYNC,This I Promise You,46n2EGFnPC3tzWCN1Aqe26
38,-2.0734134874021564,0.23490061751969882,2,Ja Rule,Put It On Me,0OvwzS8FX73Bw7ykMRmffU
39,3.0699615658345225,-0.42090122249428197,41,Christina Aguilera,Have Yourself a Merry Little Christmas,0iV9yfj1knFNOSEiuTHZwl
40,-1.4219577918742692,-2.3131498767681236,41,Rage Against The Machine,Renegades Of Funk,5YBVDvTSSSiqv7KZDeUlXA
41,-1.824850358648139,-0.7517219470924239,1,OutKast,B.O.B. - Bombs Over Baghdad,3WibbMr6canxRJXhNtAvLU
42,0.6881319189656073,-1.7466083349378605,41,Matchbox Twenty,If You're Gone,2f5N826udWfjT9iomeaBJt
43,0.456861569771192,-0.35111696677087784,2,Erykah Badu,Didn't Cha Know,7pv80uUHfocFqfTytu1MVi
44,5.4817070678828,0.5149720767010768,24,Enya,Only Time,6FLwmdmW77N1Pxb1aWsZmO
45,-1.0001334030695839,-0.3810760918269907,41,Mindless Self Indulgence,Faggot,09RhTAi0nuzCs5KS2XWSs5
46,-1.9547575808985633,0.736029614843373,7,Eminem,Bitch Please II,7lgvU7WnwcNZ8dbGUz8yhP
47,-1.4808592675488006,-1.6659392589314832,41,Mudvayne,Dig,7vrLphPq4yjaX7jiDdd2Nc
48,-0.3295282341386549,-1.4428108407820839,41,Backstreet Boys,Shape of My Heart,35o9a4iAfLl5jRmqMX9c1D
49,1.2907422913084912,-0.5218591114822316,2,Joan Sebastian,Me Gustas,7jtbRKtXtGtsJOBMaBo72W
50,6.526267262525905,-0.132905360896794,15,Radiohead,Treefingers,4DPQvbgSM0IdX4O3HOACwL
51,-0.7633495747625181,-1.0554380921752604,2,Los Tucanes De Tijuana,Mis Tres Viejas,1yxJIFPhP2EqnQ6oWJKbmP
52,0.7480919224549826,-0.8342865007540872,2,Sade,By Your Side,7H3ojI1BsVy0dEJENqMt1k
53,-0.23098135019740867,-1.5219859211903424,2,Nelly Furtado,I'm Like A Bird,4sUoWHVnJl8z3t4zdqf6xB
54,0.8261173414837591,-0.6863912241093519,41,Coldplay,Trouble,0R8P9KfGJCDULmlEoBagcO
55,0.5957919113883898,-0.5306264585838694,2,Musiq Soulchild,Just Friends (Sunny),5jgEJXjECdlhzNgfITSTVm
56,0.19569013819342881,-1.7708826190456672,2,Limp Bizkit,Take A Look Around,2avKuMN2QXkaG9vvHa2JLt
57,-1.4011205019637172,-1.6281797078946434,42,Linkin Park,A Place for My Head,5rAxhWcgFng3s570sGO2F8
58,-2.592356297889546,-0.6478481026149754,2,Three 6 Mafia,Sippin On Some Syrup (feat. UGK (Underground Kingz) & Project Pat),2EduiM2UNwjCC7PsLxnOCH
59,-1.5878419696484267,-1.7431883619500423,17,Britney Spears,Stronger,5QhBKPqsnX1uY9fZNaAtZg
60,0.6606868608272182,-2.457615186173906,35,Deftones,Passenger,7IoK6jZBxY7NMoQPoPXZCF
61,1.5135963768967697,-0.6038388222649645,2,Joan Sebastian,Secreto De Amor,47PiSg7z5qjUyEGKN4I1g7
62,-0.30315438844058185,-0.8836136864112246,41,Phoenix,If I Ever Feel Better,3AA8xNhDC0MpqwkGX3EP5V
63,-1.10696112644634,-0.4319143488258939,41,Mindless Self Indulgence,Bitches,7wwLxmUVLCfySaJ0fdyelI
64,-1.201192643871333,-1.2466988535900765,42,Linkin Park,Points of Authority,5egqKwgK5r5rvGD1LrtR7J
65,-1.0198261435339107,-1.3962385429472128,17,Britney Spears,Lucky,2TTYIwTM2iLC1YOyHuhRMt
66,-0.5428974713893551,-1.648674221140455,2,The Beatles,She Loves You - Mono / Remastered,6nEkxYIEnrbYH7h1hJ8Xn6
67,-0.4321318548895213,-1.5041680654533403,2,Los Tucanes De Tijuana,El Amor Soñado,587p8shYuTXUhThG3t9x60
68,8.967842119825356,1.6263940928657892,15,Frédéric Chopin,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",2MSgFefjK0T7Iwjvr3OKqV
69,-0.7491053488363079,0.7346209758545629,2,Nelly,E.I.,4bUfMNNmiCmPXVyWzIfKeZ
70,-1.1999577058877884,-1.2685066151434679,2,Jagged Edge,He Can't Love U,3VEZvzr84WVnoorZ4tlBSw
